id;nombre;abreviatura;foto;color_fondo
1;generating;Computers Small Fresh Gloves back-end;interface;82786
2;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;4106
3;morph content bypass;Electronics;Refined infomediaries Som;5819
4;Corporate;Enterprise-wide Benin;Tuna Response invoice;51669
5;payment e-markets system;Organic;Cheese Steel;34187
6;Small;Incredible Fresh Chips;Shoes Music connect;80691
7;e-business Light;integrate Personal Loan Account;HTTP explicit;1530
8;Optimization Cambridgeshire;payment Soap;Web;94425
9;COM;Data North Dakota;North Carolina Granite;81120
10;parsing Investment Account;Branding Dynamic black;yellow;37725
