id;nombre;description;porcentaje
1;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;2327
2;open-source hybrid;Solomon Islands Dollar;34833
3;Accountability Handmade Cotton Bacon;intermediate Table quantify;80683
4;Producer infrastructures;Robust Louisiana;86711
5;Texas Managed Dobra;compress Fantastic Global;50525
6;navigating encoding;Fantastic Small Frozen Salad bypassing;35490
7;Usability;Applications Missouri deposit;44844
8;methodical;Pakistan;21272
9;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;88770
10;cross-media Frozen;Syrian Pound;83696
