id;codigo;subtotal;descuento;impuestos;total;fecha
1;feed;82086;92937;71845;55676;2019-09-09
2;Gardens synthesizing;20507;18704;96799;32367;2019-09-08
3;tan program;52984;11483;70723;61062;2019-09-08
4;Awesome;50610;15436;93201;48114;2019-09-09
5;Checking Account frictionless;45426;13441;54860;6337;2019-09-09
6;orange Trinidad and Tobago Dollar Gorgeous;13882;68150;271;76022;2019-09-09
7;Mall Investment Account;79428;34886;10669;92952;2019-09-08
8;parse infrastructures Mobility;99092;93834;20500;18123;2019-09-09
9;Mobility;72159;57447;4809;84182;2019-09-08
10;synthesizing;75050;20162;79953;16365;2019-09-08
