id;descripcion;codigo;foto;cantidad;precio_compra;precio_venta;minimas_unidades;unidades_pedido
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60111;14286;70807;65088
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;706;43194;2306;29122;52477
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;46676;4645;85994;60754;68030
4;Centers;Factors;South Dakota envisioneer Music;23089;68423;24102;44015;68326
5;Investment Account;Games Regional Digitized;copy convergence;20794;54671;56770;18485;3131
6;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;96117;32533;84453;38867;74732
7;South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;16526;7455;1563;98688;42340
8;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;65107;11586;91495;86310;85003
9;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;38292;11959;97171;71324;84891
10;hard drive Robust Networked;Poland;Small partnerships;20171;3142;89576;63641;47537
